model,case,event
model1,0,A
model1,1,A
model1,0,B
model1,2,A
model1,1,F
model1,3,A
model1,0,C
model1,2,B
model1,4,A
model1,1,D
model1,3,B
model1,0,A
model1,5,A
model1,2,C
model1,1,E
model1,4,F
model1,6,A
model1,0,B
model1,3,C
model1,5,F
model1,2,A
model1,1,G
model1,7,A
model1,4,D
model1,6,B
model1,3,A
model1,0,C
model1,2,F
model1,8,A
model1,5,D
model1,1,I
model1,7,F
model1,4,E
model1,6,C
model1,9,A
model1,0,A
model1,3,B
model1,5,E
model1,2,D
model1,8,F
model1,4,G
model1,1,J
model1,7,D
model1,10,A
model1,6,A
model1,9,B
model1,2,E
model1,3,C
model1,0,F
model1,11,A
model1,8,D
model1,4,I
model1,5,G
model1,7,E
model1,1,L
model1,6,F
model1,9,C
model1,10,F
model1,12,A
model1,0,D
model1,3,A
model1,2,G
model1,11,F
model1,7,G
model1,5,H
model1,8,E
model1,4,J
model1,1,M
model1,13,A
model1,10,D
model1,6,D
model1,9,A
model1,12,B
model1,3,F
model1,0,E
model1,14,A
model1,13,F
model1,8,G
model1,7,H
model1,2,H
model1,11,D
model1,4,L
model1,6,E
model1,1,O
model1,12,C
model1,10,E
model1,15,A
model1,9,F
model1,3,D
model1,0,G
model1,14,F
model1,13,D
model1,8,I
model1,11,E
model1,16,A
model1,4,M
model1,6,G
model1,15,F
model1,12,A
model1,3,E
model1,10,G
model1,9,D
model1,0,H
model1,8,J
model1,13,E
model1,14,D
model1,17,A
model1,11,G
model1,4,N
model1,16,B
model1,6,I
model1,10,I
model1,12,B
model1,15,D
model1,18,A
model1,3,G
model1,17,B
model1,9,E
model1,8,L
model1,13,G
model1,14,E
model1,11,I
model1,19,A
model1,6,J
model1,12,C
model1,10,J
model1,16,C
model1,18,F
model1,15,E
model1,3,I
model1,9,G
model1,17,C
model1,8,M
model1,14,G
model1,20,A
model1,13,I
model1,11,J
model1,12,A
model1,16,A
model1,6,L
model1,10,L
model1,19,F
model1,18,D
model1,21,A
model1,3,J
model1,15,G
model1,8,N
model1,9,I
model1,17,A
model1,20,B
model1,14,I
model1,13,J
model1,12,F
model1,22,A
model1,11,L
model1,19,D
model1,10,M
model1,16,B
model1,21,F
model1,18,E
model1,6,M
model1,3,L
model1,15,H
model1,9,J
model1,23,A
model1,17,F
model1,20,C
model1,14,J
model1,13,L
model1,22,B
model1,10,N
model1,12,D
model1,16,C
model1,19,E
model1,11,M
model1,6,N
model1,21,D
model1,18,G
model1,24,A
model1,3,M
model1,9,K
model1,23,F
model1,17,D
model1,20,A
model1,13,M
model1,14,K
model1,25,A
model1,22,C
model1,19,G
model1,21,E
model1,12,E
model1,24,B
model1,16,A
model1,11,O
model1,18,I
model1,3,O
model1,9,M
model1,26,A
model1,17,E
model1,23,D
model1,20,B
model1,25,F
model1,13,O
model1,14,M
model1,21,G
model1,16,F
model1,22,A
model1,19,I
model1,27,A
model1,24,C
model1,18,J
model1,12,G
model1,17,G
model1,23,E
model1,26,F
model1,9,O
model1,25,D
model1,28,A
model1,16,D
model1,20,C
model1,14,O
model1,21,I
model1,22,F
model1,27,F
model1,24,A
model1,19,J
model1,17,I
model1,18,L
model1,12,H
model1,23,G
model1,26,D
model1,29,A
model1,25,E
model1,28,F
model1,22,D
model1,21,J
model1,16,E
model1,20,A
model1,24,B
model1,30,A
model1,27,D
model1,19,K
model1,17,J
model1,18,M
model1,23,I
model1,29,F
model1,26,E
model1,25,G
model1,28,D
model1,31,A
model1,22,E
model1,16,G
model1,20,F
model1,27,E
model1,30,F
model1,18,N
model1,19,M
model1,21,K
model1,24,C
model1,17,K
model1,23,J
model1,26,G
model1,32,A
model1,29,D
model1,25,H
model1,16,H
model1,28,E
model1,31,B
model1,22,G
model1,20,D
model1,30,D
model1,27,G
model1,33,A
model1,23,L
model1,24,A
model1,21,M
model1,19,N
model1,29,E
model1,26,H
model1,17,M
model1,32,B
model1,31,C
model1,22,H
model1,34,A
model1,28,G
model1,20,E
model1,30,E
model1,21,N
model1,27,I
model1,33,B
model1,17,N
model1,23,M
model1,24,B
model1,29,G
model1,35,A
model1,32,C
model1,31,A
model1,34,B
model1,28,I
model1,20,G
model1,27,J
model1,36,A
model1,33,C
model1,30,G
model1,24,C
model1,23,N
model1,35,B
model1,29,I
model1,32,A
model1,37,A
model1,31,B
model1,34,C
model1,28,J
model1,36,B
model1,20,I
model1,27,K
model1,33,A
model1,30,H
model1,24,A
model1,35,C
model1,29,J
model1,38,A
model1,32,F
model1,31,C
model1,37,B
model1,28,K
model1,34,A
model1,24,B
model1,36,C
model1,39,A
model1,27,M
model1,33,B
model1,20,J
model1,35,A
model1,38,F
model1,29,K
model1,31,A
model1,37,C
model1,40,A
model1,32,D
model1,28,M
model1,27,N
model1,34,F
model1,39,B
model1,24,C
model1,20,K
model1,36,A
model1,33,C
model1,35,B
model1,41,A
model1,38,D
model1,29,M
model1,31,F
model1,40,F
model1,32,E
model1,37,A
model1,28,N
model1,24,A
model1,39,C
model1,34,D
model1,42,A
model1,20,M
model1,35,C
model1,36,B
model1,33,A
model1,38,E
model1,41,F
model1,29,N
model1,31,D
model1,43,A
model1,37,F
model1,32,G
model1,24,F
model1,40,D
model1,20,O
model1,35,A
model1,42,B
model1,36,C
model1,39,A
model1,33,F
model1,34,E
model1,41,D
model1,38,G
model1,44,A
model1,31,E
model1,24,D
model1,32,I
model1,43,F
model1,37,D
model1,40,E
model1,42,C
model1,45,A
model1,35,B
model1,39,F
model1,33,D
model1,34,G
model1,38,H
model1,44,B
model1,36,A
model1,41,E
model1,31,G
model1,24,E
model1,37,E
model1,43,D
model1,46,A
model1,32,J
model1,40,G
model1,34,H
model1,39,D
model1,45,B
model1,33,E
model1,35,C
model1,42,A
model1,44,C
model1,31,I
model1,47,A
model1,36,B
model1,41,G
model1,43,E
model1,24,G
model1,37,G
model1,46,B
model1,32,K
model1,40,H
model1,35,A
model1,39,E
model1,45,C
model1,33,G
model1,48,A
model1,42,B
model1,47,F
model1,43,G
model1,44,A
model1,31,J
model1,41,I
model1,36,C
model1,37,H
model1,49,A
model1,24,I
model1,46,C
model1,45,A
model1,35,B
model1,32,M
model1,33,H
model1,39,G
model1,42,C
model1,48,F
model1,47,D
model1,44,B
model1,43,I
model1,41,J
model1,31,L
model1,36,A
model1,24,J
model1,49,F
model1,46,A
model1,45,F
model1,35,C
model1,32,N
model1,48,D
model1,42,A
model1,39,H
model1,43,J
model1,47,E
model1,44,C
model1,31,M
model1,41,L
model1,36,F
model1,49,D
model1,46,F
model1,24,L
model1,48,E
model1,45,D
model1,35,A
model1,42,F
model1,43,L
model1,47,G
model1,31,N
model1,36,D
model1,44,A
model1,41,M
model1,49,E
model1,46,D
model1,48,G
model1,24,M
model1,45,E
model1,35,B
model1,42,D
model1,47,I
model1,41,N
model1,36,E
model1,44,B
model1,43,M
model1,48,H
model1,49,G
model1,46,E
model1,24,O
model1,45,G
model1,42,E
model1,35,C
model1,44,C
model1,47,J
model1,43,N
model1,36,G
model1,49,H
model1,46,G
model1,35,A
model1,45,I
model1,44,A
model1,42,G
model1,47,L
model1,36,H
model1,46,H
model1,44,F
model1,42,I
model1,35,F
model1,45,J
model1,47,M
model1,42,J
model1,44,D
model1,47,O
model1,35,D
model1,45,K
model1,44,E
model1,35,E
model1,42,K
model1,45,M
model1,44,G
model1,42,M
model1,35,G
model1,45,O
model1,44,I
model1,35,H
model1,42,O
model1,44,J
model1,44,L
model1,44,M
model1,44,N
model2,50,A
model2,50,F
model2,50,D
model2,50,E
model2,50,G
model2,51,A
model2,50,H
model2,51,F
model2,51,D
model2,51,E
model2,51,G
model2,52,A
model2,52,B
model2,51,H
model2,52,C
model2,52,A
model2,52,F
model2,53,A
model2,52,D
model2,53,F
model2,52,E
model2,53,D
