model,case,event
model1,0,A
model1,1,A
model1,0,F
model1,2,A
model1,1,B
model1,0,D
model1,3,A
model1,2,F
model1,1,C
model1,4,A
model1,0,E
model1,3,B
model1,2,D
model1,5,A
model1,1,A
model1,4,F
model1,0,H
model1,3,C
model1,6,A
model1,5,B
model1,2,E
model1,1,B
model1,7,A
model1,4,D
model1,3,A
model1,5,C
model1,2,H
model1,6,F
model1,8,A
model1,1,C
model1,4,E
model1,3,B
model1,5,A
model1,7,B
model1,9,A
model1,6,D
model1,1,A
model1,8,B
model1,10,A
model1,4,H
model1,7,C
model1,3,C
model1,5,B
model1,9,F
model1,6,E
model1,1,B
model1,11,A
model1,8,C
model1,7,A
model1,3,A
model1,10,F
model1,5,C
model1,9,D
model1,12,A
model1,1,C
model1,11,B
model1,6,H
model1,8,A
model1,7,F
model1,3,B
model1,13,A
model1,12,B
model1,9,E
model1,10,D
model1,5,A
model1,1,A
model1,11,C
model1,14,A
model1,7,D
model1,8,B
model1,13,F
model1,3,C
model1,9,H
model1,12,C
model1,1,B
model1,15,A
model1,10,E
model1,5,F
model1,11,A
model1,14,F
model1,7,E
model1,8,C
model1,13,D
model1,3,A
model1,16,A
model1,15,F
model1,12,A
model1,1,C
model1,10,I
model1,5,D
model1,7,I
model1,17,A
model1,16,F
model1,11,B
model1,14,D
model1,12,F
model1,13,E
model1,8,A
model1,3,F
model1,15,D
model1,18,A
model1,5,E
model1,1,A
model1,10,J
model1,17,F
model1,7,J
model1,16,D
model1,11,C
model1,14,E
model1,19,A
model1,3,D
model1,12,D
model1,13,H
model1,8,B
model1,10,K
model1,15,E
model1,18,B
model1,1,B
model1,5,H
model1,17,D
model1,7,L
model1,16,E
model1,20,A
model1,11,A
model1,19,F
model1,14,I
model1,12,E
model1,3,E
model1,8,C
model1,10,M
model1,21,A
model1,18,C
model1,15,H
model1,1,C
model1,7,M
model1,17,E
model1,20,F
model1,11,F
model1,16,I
model1,19,D
model1,14,J
model1,8,A
model1,3,H
model1,22,A
model1,12,H
model1,1,A
model1,10,O
model1,21,F
model1,18,A
model1,16,J
model1,7,O
model1,17,H
model1,8,F
model1,23,A
model1,20,D
model1,22,B
model1,11,D
model1,19,E
model1,14,K
model1,21,D
model1,24,A
model1,1,B
model1,18,B
model1,8,D
model1,16,L
model1,23,F
model1,20,E
model1,11,E
model1,14,M
model1,22,C
model1,19,I
model1,25,A
model1,1,C
model1,24,F
model1,18,C
model1,21,E
model1,8,E
model1,11,H
model1,26,A
model1,23,D
model1,20,H
model1,16,M
model1,22,A
model1,14,O
model1,25,B
model1,19,J
model1,24,D
model1,18,A
model1,1,A
model1,27,A
model1,21,I
model1,8,H
model1,23,E
model1,26,F
model1,22,B
model1,25,C
model1,16,N
model1,28,A
model1,24,E
model1,19,L
model1,18,F
model1,27,B
model1,1,F
model1,22,C
model1,21,J
model1,29,A
model1,26,D
model1,23,H
model1,25,A
model1,24,I
model1,28,B
model1,18,D
model1,19,M
model1,27,C
model1,1,D
model1,30,A
model1,26,E
model1,22,A
model1,21,L
model1,29,B
model1,31,A
model1,24,J
model1,18,E
model1,28,C
model1,25,F
model1,1,E
model1,19,N
model1,27,A
model1,30,F
model1,26,I
model1,21,M
model1,22,B
model1,32,A
model1,29,C
model1,31,F
model1,18,H
model1,1,H
model1,28,A
model1,25,D
model1,33,A
model1,24,L
model1,27,F
model1,30,D
model1,26,J
model1,21,N
model1,22,C
model1,32,B
model1,29,A
model1,31,D
model1,34,A
model1,28,F
model1,26,L
model1,25,E
model1,27,D
model1,33,B
model1,24,M
model1,30,E
model1,35,A
model1,32,C
model1,22,A
model1,31,E
model1,29,B
model1,34,F
model1,25,I
model1,28,D
model1,27,E
model1,26,M
model1,33,C
model1,36,A
model1,24,N
model1,30,I
model1,22,B
model1,32,A
model1,31,H
model1,29,C
model1,28,E
model1,35,F
model1,37,A
model1,34,D
model1,25,J
model1,27,I
model1,33,A
model1,26,O
model1,36,F
model1,30,J
model1,22,C
model1,32,B
model1,38,A
model1,29,A
model1,28,I
model1,34,E
model1,37,F
model1,35,D
model1,25,K
model1,27,J
model1,33,F
model1,36,D
model1,22,A
model1,39,A
model1,30,L
model1,32,C
model1,29,B
model1,38,B
model1,35,E
model1,40,A
model1,37,D
model1,28,J
model1,27,L
model1,34,I
model1,33,D
model1,25,M
model1,22,F
model1,36,E
model1,30,M
model1,39,F
model1,32,A
model1,41,A
model1,29,C
model1,37,E
model1,35,I
model1,27,M
model1,28,K
model1,40,B
model1,38,C
model1,34,J
model1,33,E
model1,25,O
model1,22,D
model1,36,H
model1,42,A
model1,30,O
model1,32,F
model1,39,D
model1,37,I
model1,29,A
model1,27,O
model1,41,F
model1,35,J
model1,43,A
model1,38,A
model1,28,M
model1,34,K
model1,40,C
model1,22,E
model1,32,D
model1,37,J
model1,33,I
model1,42,F
model1,39,E
model1,29,B
model1,44,A
model1,41,D
model1,35,K
model1,43,B
model1,38,B
model1,28,O
model1,40,A
model1,34,M
model1,22,I
model1,32,E
model1,45,A
model1,39,H
model1,37,K
model1,42,D
model1,29,C
model1,33,J
model1,35,M
model1,44,B
model1,41,E
model1,46,A
model1,34,N
model1,40,B
model1,43,C
model1,38,C
model1,22,J
model1,45,B
model1,32,H
model1,42,E
model1,37,M
model1,29,A
model1,35,O
model1,47,A
model1,44,C
model1,33,K
model1,46,B
model1,43,A
model1,41,I
model1,40,C
model1,38,A
model1,22,K
model1,48,A
model1,45,C
model1,37,O
model1,42,I
model1,29,B
model1,47,F
model1,44,A
model1,46,C
model1,41,J
model1,33,M
model1,49,A
model1,43,B
model1,38,B
model1,40,A
model1,45,A
model1,22,M
model1,48,F
model1,42,J
model1,29,C
model1,50,A
model1,47,D
model1,33,N
model1,44,B
model1,46,A
model1,49,B
model1,43,C
model1,41,K
model1,38,C
model1,22,O
model1,45,F
model1,51,A
model1,40,B
model1,42,L
model1,48,D
model1,50,F
model1,29,A
model1,44,C
model1,49,C
model1,47,E
model1,43,A
model1,46,F
model1,52,A
model1,38,A
model1,41,M
model1,42,M
model1,45,D
model1,48,E
model1,40,C
model1,51,B
model1,50,D
model1,53,A
model1,29,F
model1,49,A
model1,44,A
model1,43,B
model1,47,I
model1,52,F
model1,46,D
model1,38,F
model1,41,O
model1,42,N
model1,48,I
model1,54,A
model1,45,E
model1,51,C
model1,40,A
model1,53,B
model1,50,E
model1,49,B
model1,29,D
model1,43,C
model1,44,F
model1,47,J
model1,46,E
model1,55,A
model1,52,D
model1,38,D
model1,48,J
model1,54,F
model1,40,F
model1,51,A
model1,45,I
model1,53,C
model1,50,H
model1,56,A
model1,49,C
model1,47,L
model1,29,E
model1,55,F
model1,43,A
model1,44,D
model1,48,K
model1,38,E
model1,46,I
model1,52,E
model1,54,D
model1,40,D
model1,57,A
model1,45,J
model1,53,A
model1,51,B
model1,56,B
model1,47,M
model1,29,I
model1,43,F
model1,55,D
model1,49,A
model1,48,M
model1,58,A
model1,38,I
model1,44,E
model1,52,I
model1,46,J
model1,40,E
model1,54,E
model1,57,F
model1,53,B
model1,45,L
model1,51,C
model1,56,C
model1,47,O
model1,59,A
model1,43,D
model1,29,J
model1,49,F
model1,48,O
model1,58,B
model1,52,J
model1,55,E
model1,38,J
model1,46,K
model1,44,H
model1,54,H
model1,57,D
model1,51,A
model1,40,H
model1,56,A
model1,60,A
model1,45,M
model1,49,D
model1,53,C
model1,43,E
model1,29,K
model1,59,F
model1,58,C
model1,55,H
model1,52,L
model1,61,A
model1,38,L
model1,57,E
model1,46,M
model1,51,B
model1,56,F
model1,45,N
model1,53,A
model1,60,F
model1,43,I
model1,49,E
model1,59,D
model1,62,A
model1,58,A
model1,29,M
model1,61,B
model1,52,M
model1,38,M
model1,56,D
model1,46,O
model1,51,C
model1,57,H
model1,63,A
